comment_id,text,target,aspect,sentiment,opinion_span,intensity
Ugz3nkmRHrhfD1XHio94AaABAg,"Mình xem Tez từ mùa một đến giờ... chúc mừng Tez...VÀ MUỐN GÓP Ý VỚI TEZ . Một bài rap hay phải luôn có phần điệp khúc (mọi người gọi là ""húc"" gì gì đó) dễ nhớ, bắt tai, và fan có thể hát theo....tất cả các bài hít đều có cấu trúc đơn giản như vậy...fan hát theo đoạn điệp khúc (HÚC) .. Nó y trang mấy bài của Binz ...Mọi người chỉ cần hô theo "" nguyên team đi vào hết "", rồi bài Gene "" không anh chứ ai, đố em tìm được anh thứ hai""...hay Bigcityboi ... Tez CÓ HAI BÀI ""enjoy cái moment này"" và bài chung kết được làm như vậy và khán giả lập tức hát theo ngay.....đó là lý do bài hát thành hit . Một điều cuối, khi viết nhạc cố gắng thoát khỏi bản thân mình ra khỏi bản nhạc, mà nên viết làm sao ai cũng thấy mình trong đó, đồng cảm với nó như đang viết về một phần cuộc đời họ, thêm một chút flex giống binz. anree hoặc giống 24k rigth . muốn làm được như vậy phải đặt bản thân cao lên, nhìn rộng lên thêm...nhìn ở góc độ ông trùm của một đám đông, của một cộng đồng, của một thế hệ trẻ...với vị thế đó bài nhạc sẽ là của tất cả anh em . chúc mừng Tez có ít nhất 3 bài hát ở mùa này được nghe đi nghe lại .chúc Tez vô địch rv3 ..",Tez,PERFORMANCE,positive,Tez CÓ HAI BÀI 'enjoy cái moment này' và bài chung kết được làm như vậy và khán giả lập tức hát theo ngay,moderate
Ugz3nkmRHrhfD1XHio94AaABAg,"Mình xem Tez từ mùa một đến giờ... chúc mừng Tez...VÀ MUỐN GÓP Ý VỚI TEZ . Một bài rap hay phải luôn có phần điệp khúc (mọi người gọi là ""húc"" gì gì đó) dễ nhớ, bắt tai, và fan có thể hát theo....tất cả các bài hít đều có cấu trúc đơn giản như vậy...fan hát theo đoạn điệp khúc (HÚC) .. Nó y trang mấy bài của Binz ...Mọi người chỉ cần hô theo "" nguyên team đi vào hết "", rồi bài Gene "" không anh chứ ai, đố em tìm được anh thứ hai""...hay Bigcityboi ... Tez CÓ HAI BÀI ""enjoy cái moment này"" và bài chung kết được làm như vậy và khán giả lập tức hát theo ngay.....đó là lý do bài hát thành hit . Một điều cuối, khi viết nhạc cố gắng thoát khỏi bản thân mình ra khỏi bản nhạc, mà nên viết làm sao ai cũng thấy mình trong đó, đồng cảm với nó như đang viết về một phần cuộc đời họ, thêm một chút flex giống binz. anree hoặc giống 24k rigth . muốn làm được như vậy phải đặt bản thân cao lên, nhìn rộng lên thêm...nhìn ở góc độ ông trùm của một đám đông, của một cộng đồng, của một thế hệ trẻ...với vị thế đó bài nhạc sẽ là của tất cả anh em . chúc mừng Tez có ít nhất 3 bài hát ở mùa này được nghe đi nghe lại .chúc Tez vô địch rv3 ..",Tez,PERFORMANCE,positive,Tez có ít nhất 3 bài hát ở mùa này được nghe đi nghe lại,moderate
Ugz3nkmRHrhfD1XHio94AaABAg,"Mình xem Tez từ mùa một đến giờ... chúc mừng Tez...VÀ MUỐN GÓP Ý VỚI TEZ . Một bài rap hay phải luôn có phần điệp khúc (mọi người gọi là ""húc"" gì gì đó) dễ nhớ, bắt tai, và fan có thể hát theo....tất cả các bài hít đều có cấu trúc đơn giản như vậy...fan hát theo đoạn điệp khúc (HÚC) .. Nó y trang mấy bài của Binz ...Mọi người chỉ cần hô theo "" nguyên team đi vào hết "", rồi bài Gene "" không anh chứ ai, đố em tìm được anh thứ hai""...hay Bigcityboi ... Tez CÓ HAI BÀI ""enjoy cái moment này"" và bài chung kết được làm như vậy và khán giả lập tức hát theo ngay.....đó là lý do bài hát thành hit . Một điều cuối, khi viết nhạc cố gắng thoát khỏi bản thân mình ra khỏi bản nhạc, mà nên viết làm sao ai cũng thấy mình trong đó, đồng cảm với nó như đang viết về một phần cuộc đời họ, thêm một chút flex giống binz. anree hoặc giống 24k rigth . muốn làm được như vậy phải đặt bản thân cao lên, nhìn rộng lên thêm...nhìn ở góc độ ông trùm của một đám đông, của một cộng đồng, của một thế hệ trẻ...với vị thế đó bài nhạc sẽ là của tất cả anh em . chúc mừng Tez có ít nhất 3 bài hát ở mùa này được nghe đi nghe lại .chúc Tez vô địch rv3 ..",Tez,PERSONALITY,positive,chúc mừng Tez,moderate
Ugz3nkmRHrhfD1XHio94AaABAg,"Mình xem Tez từ mùa một đến giờ... chúc mừng Tez...VÀ MUỐN GÓP Ý VỚI TEZ . Một bài rap hay phải luôn có phần điệp khúc (mọi người gọi là ""húc"" gì gì đó) dễ nhớ, bắt tai, và fan có thể hát theo....tất cả các bài hít đều có cấu trúc đơn giản như vậy...fan hát theo đoạn điệp khúc (HÚC) .. Nó y trang mấy bài của Binz ...Mọi người chỉ cần hô theo "" nguyên team đi vào hết "", rồi bài Gene "" không anh chứ ai, đố em tìm được anh thứ hai""...hay Bigcityboi ... Tez CÓ HAI BÀI ""enjoy cái moment này"" và bài chung kết được làm như vậy và khán giả lập tức hát theo ngay.....đó là lý do bài hát thành hit . Một điều cuối, khi viết nhạc cố gắng thoát khỏi bản thân mình ra khỏi bản nhạc, mà nên viết làm sao ai cũng thấy mình trong đó, đồng cảm với nó như đang viết về một phần cuộc đời họ, thêm một chút flex giống binz. anree hoặc giống 24k rigth . muốn làm được như vậy phải đặt bản thân cao lên, nhìn rộng lên thêm...nhìn ở góc độ ông trùm của một đám đông, của một cộng đồng, của một thế hệ trẻ...với vị thế đó bài nhạc sẽ là của tất cả anh em . chúc mừng Tez có ít nhất 3 bài hát ở mùa này được nghe đi nghe lại .chúc Tez vô địch rv3 ..",Tez,TEAMWORK,positive,Tez CÓ HAI BÀI 'enjoy cái moment này' và bài chung kết được làm như vậy và khán giả lập tức hát theo ngay,moderate
Ugz3nkmRHrhfD1XHio94AaABAg,"Mình xem Tez từ mùa một đến giờ... chúc mừng Tez...VÀ MUỐN GÓP Ý VỚI TEZ . Một bài rap hay phải luôn có phần điệp khúc (mọi người gọi là ""húc"" gì gì đó) dễ nhớ, bắt tai, và fan có thể hát theo....tất cả các bài hít đều có cấu trúc đơn giản như vậy...fan hát theo đoạn điệp khúc (HÚC) .. Nó y trang mấy bài của Binz ...Mọi người chỉ cần hô theo "" nguyên team đi vào hết "", rồi bài Gene "" không anh chứ ai, đố em tìm được anh thứ hai""...hay Bigcityboi ... Tez CÓ HAI BÀI ""enjoy cái moment này"" và bài chung kết được làm như vậy và khán giả lập tức hát theo ngay.....đó là lý do bài hát thành hit . Một điều cuối, khi viết nhạc cố gắng thoát khỏi bản thân mình ra khỏi bản nhạc, mà nên viết làm sao ai cũng thấy mình trong đó, đồng cảm với nó như đang viết về một phần cuộc đời họ, thêm một chút flex giống binz. anree hoặc giống 24k rigth . muốn làm được như vậy phải đặt bản thân cao lên, nhìn rộng lên thêm...nhìn ở góc độ ông trùm của một đám đông, của một cộng đồng, của một thế hệ trẻ...với vị thế đó bài nhạc sẽ là của tất cả anh em . chúc mừng Tez có ít nhất 3 bài hát ở mùa này được nghe đi nghe lại .chúc Tez vô địch rv3 ..",Tez,SHOW_FORMAT,positive,chúc Tez vô địch RV3,moderate
UgzneOY9wQRlUvYF-jB4AaABAg,"Anh Thái đúng là một huấn luyện viên đáng ngưỡng mộ. Cad ở tập trước mắc rất nhiều lỗi nhưng tập này đã thay đổi rất nhiều nhờ sự khai thác của anh Thái. Votak ở tập đầu được nhận xét là rap không rõ lời nhưng tập này mọi người đã thấy nhờ có anh Thái mà Votak đã thay đổi rất nhiều. Đây là hai người mà mình thấy qua tay anh Thái đã trau dồi được rất nhiều. Từng cặp thí sinh, từng cá nhân thí sinh đều được anh huấn luyện và khai thác phải nói là rất có tâm và cái cách anh nhìn thí sinh của mình, lo lắng cho thí sinh của mình thật sự khiến mình quá ngưỡng mộ. Anh Thái giống như cái câu “anh coi các em đều là thí sinh của anh, là thành viên của gia đình này”, anh Thái chăm chút từng tí một cho các thành viên của anh, anh hết mình khi tất cả còn trong team anh, dù cho kết quả thế nào, họ có ra về hay theo team ai thì anh cũng đối xử đồng đều với nhau chứ không phải ghép cặp để các bạn loại trừ nhau để giữ thí sinh mạnh cho mình",Anh Thái,TEAMWORK,positive,"anh coi các em đều là thí sinh của anh, là thành viên của gia đình này",strong
UgzneOY9wQRlUvYF-jB4AaABAg,"Anh Thái đúng là một huấn luyện viên đáng ngưỡng mộ. Cad ở tập trước mắc rất nhiều lỗi nhưng tập này đã thay đổi rất nhiều nhờ sự khai thác của anh Thái. Votak ở tập đầu được nhận xét là rap không rõ lời nhưng tập này mọi người đã thấy nhờ có anh Thái mà Votak đã thay đổi rất nhiều. Đây là hai người mà mình thấy qua tay anh Thái đã trau dồi được rất nhiều. Từng cặp thí sinh, từng cá nhân thí sinh đều được anh huấn luyện và khai thác phải nói là rất có tâm và cái cách anh nhìn thí sinh của mình, lo lắng cho thí sinh của mình thật sự khiến mình quá ngưỡng mộ. Anh Thái giống như cái câu “anh coi các em đều là thí sinh của anh, là thành viên của gia đình này”, anh Thái chăm chút từng tí một cho các thành viên của anh, anh hết mình khi tất cả còn trong team anh, dù cho kết quả thế nào, họ có ra về hay theo team ai thì anh cũng đối xử đồng đều với nhau chứ không phải ghép cặp để các bạn loại trừ nhau để giữ thí sinh mạnh cho mình",Anh Thái,TEAMWORK,positive,chăm sóc từng tí một cho các thành viên của anh,moderate
UgzneOY9wQRlUvYF-jB4AaABAg,"Anh Thái đúng là một huấn luyện viên đáng ngưỡng mộ. Cad ở tập trước mắc rất nhiều lỗi nhưng tập này đã thay đổi rất nhiều nhờ sự khai thác của anh Thái. Votak ở tập đầu được nhận xét là rap không rõ lời nhưng tập này mọi người đã thấy nhờ có anh Thái mà Votak đã thay đổi rất nhiều. Đây là hai người mà mình thấy qua tay anh Thái đã trau dồi được rất nhiều. Từng cặp thí sinh, từng cá nhân thí sinh đều được anh huấn luyện và khai thác phải nói là rất có tâm và cái cách anh nhìn thí sinh của mình, lo lắng cho thí sinh của mình thật sự khiến mình quá ngưỡng mộ. Anh Thái giống như cái câu “anh coi các em đều là thí sinh của anh, là thành viên của gia đình này”, anh Thái chăm chút từng tí một cho các thành viên của anh, anh hết mình khi tất cả còn trong team anh, dù cho kết quả thế nào, họ có ra về hay theo team ai thì anh cũng đối xử đồng đều với nhau chứ không phải ghép cặp để các bạn loại trừ nhau để giữ thí sinh mạnh cho mình",Anh Thái,TEAMWORK,positive,đối xử đồng đều với nhau chứ không phải ghép cặp để các bạn loại trừ nhau,moderate
Ugyvz-ksb2ezUFQVHRV4AaABAg,"Team Big Daddy là team mình thích nhất cho tới thời điểm này luôn!! Ban đầu mình chỉ là thiện cảm với Big Daddy và ủng hộ ở mức bình thường vì thấy Big có vẻ hiền và thương thí sinh, nhưng khi xem xong tập này thì phải dành lời khen cho cả Team, vượt trên kỳ vọng của mình nhiều và phải nhảy vô đây để khen 😂.
Thí sinh tiến bộ hơn hẳn. Các tiết mục đều rất hay, tiết mục nào mình cũng thích. Big đưa ra đề tài rất thú vị và chia cặp cũng rất ổn, biết định hướng thí sinh. Cái quan trọng nhất có vẻ là Big cho thí sinh ""mindset"" để sống với âm nhạc một cách tử tế. Team Big làm nhạc cũng rất hay, respect cho Dương K và nhóm làm nhạc. Có vẻ như team đã thực sự được dẫn dắt và chăm chút. 

Nếu mình ấn tượng với Team Thái VG ở ""tình cha con"" nồng ấm 😂, thì Team Big có lẽ là tình đồng đội và tinh thần tích cực. Nói chung đội nào cũng hay, nhưng thích nhất màu sắc của Team Big Daddy 🎉❤",,,,,
UgxOg1m7b_aHTjccYkt4AaABAg,"Thực sự mình mới bắt đầu pick HURRYKNG từ đêm hôm qua sau khi nghe "" Hãy yêu tôi bây giờ "". Mình ko phải fan rap nên xem chương trình chỉ vì một số bài có độ "" hot "", nhưng tình cờ khi nghe được bài của HURRYKNG thì mình rất bất ngờ bởi lyrics. Kiểu mình không nghĩ một người trẻ như anh ấy có thể viết một bài có chiều sâu như vậy và làm cho mình, một người đang trong độ tuổi chênh vênh tuổi giữa đầu 1 và đầu 2 phải suy ngẫm rất nhiều. Mình chỉ là gà mờ trong những bình luận ở đây thôi và mình không phải chuyên gia để đánh giá một ai cả, nhưng mình mong sau chương trình này, dù HURRYKNG có đi tiếp vào chung kết không nhưng mong anh sẽ được mọi người biết đến và đón nhận nhiều hơn vì anh ấy thực sự rất xứng đáng. Em rất đón chờ các sản phẩm âm nhạc tiếp theo của HURRYKNG",,,,,
