comment_id,text,target,sentiment,opinion_span,intensity,aspect
Ugw1lztNHWo_FMA1nH14AaABAg,Bài Hiếu Thứ Hai là hay nhất đợt 1:49:09  solo 1 này rồi từ nghe bắt tai bố trí bố cục bài nghe đi nghe lại hoài vẫn rất hay🎉🎉🎉. Bài Ry về nhạc thì mình cảm thấy không đc bắt tai nhưng vì trong bài Ry thể hiện nhiều tài năng tài lẻ mang vào bài.,Hiếu Thứ Hai,positive,bài Hiếu Thứ Hai là hay nhất đợt,strong,SONG
Ugw1lztNHWo_FMA1nH14AaABAg,Bài Hiếu Thứ Hai là hay nhất đợt 1:49:09  solo 1 này rồi từ nghe bắt tai bố trí bố cục bài nghe đi nghe lại hoài vẫn rất hay🎉🎉🎉. Bài Ry về nhạc thì mình cảm thấy không đc bắt tai nhưng vì trong bài Ry thể hiện nhiều tài năng tài lẻ mang vào bài.,Ry,negative,bài Ry về nhạc thì mình cảm thấy không đc bắt tai,mild,SONG
Ugw1lztNHWo_FMA1nH14AaABAg,Bài Hiếu Thứ Hai là hay nhất đợt 1:49:09  solo 1 này rồi từ nghe bắt tai bố trí bố cục bài nghe đi nghe lại hoài vẫn rất hay🎉🎉🎉. Bài Ry về nhạc thì mình cảm thấy không đc bắt tai nhưng vì trong bài Ry thể hiện nhiều tài năng tài lẻ mang vào bài.,Ry,positive,thể hiện nhiều tài năng tài lẻ mang vào bài,strong,PERFORMANCE
Ugw-Zr_K0iFtQi5qSYp4AaABAg,Team HIEUTHUHAI đẹp trai,Team HIEUTHUHAI,positive,đẹp trai,strong,GENERAL
Ugw0Yg1kQLXLNxK5Rt94AaABAg,Ui xem đoạn đức phúc mở màn mà nổi da gà😞 quáaaaaa đỉnhhhhhh ạ,Đức Phúc,positive,đỉnhhhhhh,strong,PERFORMANCE
Ugw4GTsSGeFoTwq9DCl4AaABAg,Hurrykang lần này bứt phá thật sự thêm Negav viết rap rất hay. Nói chung team anh Xái đỉnh chóp nha. Ngân Nga mãi đỉnh,Hurrykang,positive,bứt phá thật sự,strong,GENERAL
Ugw4GTsSGeFoTwq9DCl4AaABAg,Hurrykang lần này bứt phá thật sự thêm Negav viết rap rất hay. Nói chung team anh Xái đỉnh chóp nha. Ngân Nga mãi đỉnh,Negav,positive,viết rap rất hay,moderate,PERFORMANCE
Ugw4GTsSGeFoTwq9DCl4AaABAg,Hurrykang lần này bứt phá thật sự thêm Negav viết rap rất hay. Nói chung team anh Xái đỉnh chóp nha. Ngân Nga mãi đỉnh,team anh Xái,positive,team anh Xái đỉnh chóp nha,strong,TEAMWORK
Ugw5Bhlxhbl-YiEcgAt4AaABAg,Sao lúc này Dương ít nói kiểu im im nghiêm nghiêm z nhỉ. Giờ nhìn hài hài sao á,Dương,neutral,giờ nhìn hài hài sao á,moderate,PERSONALITY
Ugw5Bhlxhbl-YiEcgAt4AaABAg,Sao lúc này Dương ít nói kiểu im im nghiêm nghiêm z nhỉ. Giờ nhìn hài hài sao á,Dương,neutral,ít nói kiểu im im nghiêm nghiêm,moderate,PERSONALITY
