comment_id,text,target,aspect,sentiment,opinion_span,intensity
Ugyw6YSSLsic_s8erL94AaABAg,"Let’s start with the advantages.  Living in a smart city can reduce the negative impact on the environment. Future smart cities will be built in new urban areas with a lot of green space. City dwellers will also care more about the environment, so they will try to find ways to make their cities greener and more sustainable, for example, by growing vegetables in their roof gardens.
What about the disadvantages? Smart cities can also affect people’s private lives. When cameras are installed for security purposes, city dwellers will lose their right to privacy. They may think that someone is watching them all the time, and feel uncomfortable.
In conclusion, there are both advantages and disadvantages of living in a smart city. In my opinion, the benefits are greater, and people will find a way to adapt to the new lifestyle and overcome the challenges.

What about the disadvantages? Smart cities can also affect people’s private lives. When cameras are installed for security purposes, city dwellers will lose their right to privacy. They may think that someone is watching them all the time, and feel uncomfortable.
In conclusion, there are both advantages and disadvantages of living in a smart city. In my opinion, the benefits are greater, and people will find a way to adapt to the new lifestyle and overcome the challenges.",,,,,
Ugw1kd8X46isz9SC1lh4AaABAg,"Tập này có quá nhiều cảm xúc và có 2 điều mà mình luôn thấy bất công.
1. Bất công cho những người ít fan khi tham gia chương trình này, vd như mình thấy Vũ Thịnh mặc dù kiểu hiền hiền nhưng rất nỗ lực. VT ko phải trong giới nghệ sĩ nổi tiếng nên lúc nào vòng chọn đội cũng ko ai chọn, cũng ko thân thiết vs ai, điểm giám khảo chấm cao vòng dance tưởng chừng đc vô rồi ai dè ít fan quá nên bị loại…
2. Tập này mình thấy bài hát Regret quá hay, từ nhạc cho đến bài diễn, dễ chạm đến tai người nghe, tuy nhiên mình nghĩ chắc tiết mục đầu tư và nhiều yếu tố sáng tạo sẽ đc ghi điểm nhiều hơn, mà shock là top 5 mới ghê
Thiết nghĩ một cuộc thì như này thì cũng cần có BGK, có thể là mỗi người BGK là mạnh 1 chuyên môn như concept, cách trình diễn, bài nhạc,…để chấm trên thang điểm và cộng lại để đánh giá thứ hạng. Chứ chấm theo khán giả như này thì chắc để kéo nguyên fan club đi vote cho rồi",Vũ Thịnh,PERFORMANCE,positive,vừa hiền hiền nhưng rất nỗ lực,moderate
Ugw1kd8X46isz9SC1lh4AaABAg,"Tập này có quá nhiều cảm xúc và có 2 điều mà mình luôn thấy bất công.
1. Bất công cho những người ít fan khi tham gia chương trình này, vd như mình thấy Vũ Thịnh mặc dù kiểu hiền hiền nhưng rất nỗ lực. VT ko phải trong giới nghệ sĩ nổi tiếng nên lúc nào vòng chọn đội cũng ko ai chọn, cũng ko thân thiết vs ai, điểm giám khảo chấm cao vòng dance tưởng chừng đc vô rồi ai dè ít fan quá nên bị loại…
2. Tập này mình thấy bài hát Regret quá hay, từ nhạc cho đến bài diễn, dễ chạm đến tai người nghe, tuy nhiên mình nghĩ chắc tiết mục đầu tư và nhiều yếu tố sáng tạo sẽ đc ghi điểm nhiều hơn, mà shock là top 5 mới ghê
Thiết nghĩ một cuộc thì như này thì cũng cần có BGK, có thể là mỗi người BGK là mạnh 1 chuyên môn như concept, cách trình diễn, bài nhạc,…để chấm trên thang điểm và cộng lại để đánh giá thứ hạng. Chứ chấm theo khán giả như này thì chắc để kéo nguyên fan club đi vote cho rồi",Vũ Thịnh,VISUAL,neutral,mặc dù kiểu hiền hiền,mild
Ugw1kd8X46isz9SC1lh4AaABAg,"Tập này có quá nhiều cảm xúc và có 2 điều mà mình luôn thấy bất công.
1. Bất công cho những người ít fan khi tham gia chương trình này, vd như mình thấy Vũ Thịnh mặc dù kiểu hiền hiền nhưng rất nỗ lực. VT ko phải trong giới nghệ sĩ nổi tiếng nên lúc nào vòng chọn đội cũng ko ai chọn, cũng ko thân thiết vs ai, điểm giám khảo chấm cao vòng dance tưởng chừng đc vô rồi ai dè ít fan quá nên bị loại…
2. Tập này mình thấy bài hát Regret quá hay, từ nhạc cho đến bài diễn, dễ chạm đến tai người nghe, tuy nhiên mình nghĩ chắc tiết mục đầu tư và nhiều yếu tố sáng tạo sẽ đc ghi điểm nhiều hơn, mà shock là top 5 mới ghê
Thiết nghĩ một cuộc thì như này thì cũng cần có BGK, có thể là mỗi người BGK là mạnh 1 chuyên môn như concept, cách trình diễn, bài nhạc,…để chấm trên thang điểm và cộng lại để đánh giá thứ hạng. Chứ chấm theo khán giả như này thì chắc để kéo nguyên fan club đi vote cho rồi",Rap Việt,SHOW_FORMAT,negative,bất công cho những người ít fan khi tham gia chương trình này,moderate
Ugw1kd8X46isz9SC1lh4AaABAg,"Tập này có quá nhiều cảm xúc và có 2 điều mà mình luôn thấy bất công.
1. Bất công cho những người ít fan khi tham gia chương trình này, vd như mình thấy Vũ Thịnh mặc dù kiểu hiền hiền nhưng rất nỗ lực. VT ko phải trong giới nghệ sĩ nổi tiếng nên lúc nào vòng chọn đội cũng ko ai chọn, cũng ko thân thiết vs ai, điểm giám khảo chấm cao vòng dance tưởng chừng đc vô rồi ai dè ít fan quá nên bị loại…
2. Tập này mình thấy bài hát Regret quá hay, từ nhạc cho đến bài diễn, dễ chạm đến tai người nghe, tuy nhiên mình nghĩ chắc tiết mục đầu tư và nhiều yếu tố sáng tạo sẽ đc ghi điểm nhiều hơn, mà shock là top 5 mới ghê
Thiết nghĩ một cuộc thì như này thì cũng cần có BGK, có thể là mỗi người BGK là mạnh 1 chuyên môn như concept, cách trình diễn, bài nhạc,…để chấm trên thang điểm và cộng lại để đánh giá thứ hạng. Chứ chấm theo khán giả như này thì chắc để kéo nguyên fan club đi vote cho rồi",Regret,SONG,positive,"bài hát Regret quá hay, từ nhạc cho đến bài diễn",strong
Ugw1kd8X46isz9SC1lh4AaABAg,"Tập này có quá nhiều cảm xúc và có 2 điều mà mình luôn thấy bất công.
1. Bất công cho những người ít fan khi tham gia chương trình này, vd như mình thấy Vũ Thịnh mặc dù kiểu hiền hiền nhưng rất nỗ lực. VT ko phải trong giới nghệ sĩ nổi tiếng nên lúc nào vòng chọn đội cũng ko ai chọn, cũng ko thân thiết vs ai, điểm giám khảo chấm cao vòng dance tưởng chừng đc vô rồi ai dè ít fan quá nên bị loại…
2. Tập này mình thấy bài hát Regret quá hay, từ nhạc cho đến bài diễn, dễ chạm đến tai người nghe, tuy nhiên mình nghĩ chắc tiết mục đầu tư và nhiều yếu tố sáng tạo sẽ đc ghi điểm nhiều hơn, mà shock là top 5 mới ghê
Thiết nghĩ một cuộc thì như này thì cũng cần có BGK, có thể là mỗi người BGK là mạnh 1 chuyên môn như concept, cách trình diễn, bài nhạc,…để chấm trên thang điểm và cộng lại để đánh giá thứ hạng. Chứ chấm theo khán giả như này thì chắc để kéo nguyên fan club đi vote cho rồi",BGK,TEAMWORK,suggestion,"thiết nghĩ một cuộc thì như này thì cũng cần có BGK, có thể là mỗi người BGK là mạnh 1 chuyên môn như concept, cách trình diễn, bài nhạc,...để chấm trên thang điểm và cộng lại để đánh giá thứ hạng",moderate
UgzmWkwDZgV7n937T-d4AaABAg,"Hôm nay sau concert tại Las Vegas mình đã xem lại chương trình để xem lại hành trình mà my boy HURRYKNG đã đi, đã cố gắng và nỗ lực như thế nào. Không chỉ riêng Khang mà tất cả các anh em đều đã có cho mình những thành quả xứng đáng. Tuy có nhiều người sau chương trình dính drama và bàn tán rất nhiều nhưng có 1 điều không thể phủ nhận rằng họ đều rất tài năng. Bias ngay từ đầu khi quyết định xem chương trình của mình vẫn là HURRYKNG và bây giờ vẫn thế. Vẫn yêu quý và thương chàng trai này rất nhiều❤ Trên threads nhận được rất nhiều bài post và cả comment khen Khang rất nhiều về tính cách nhưng mình mong rằng mọi người công nhận Khang thông qua tài năng của Khang nữa^^ Hôm nay cũng là ngày Khang feat cùng Coldzy trong sản phẩm mới là Bleed, mong cả nhà ủng hộ anh nhà ạ! Goose love u❤",,,,,
Ugw_Ws_Fx6-4flI-Wkt4AaABAg,"Thề luôn, mình tuyệt đối ưu tiên phái nữ hơn nam nên năm rồi k xem anh trai say hi, năm nay xem em xinh xong mới xem thử anh trai và❤❤❤thề luôn hay gấp mấy lần em xinh, xem k bỏ tập nào, k tua nhanh, chung kết 16 bài đơn mang màu sắc đặc biệt cực kỳ....🎉🎉🎉
Anh trai say hi vì sao trở thành hiện tượng hiểu rồi đấy...
Thực lực mạnh, màu sắc riêng, khát khao quyết tâm mỗi người thể hiện rất rõ, bài hit vừa nghe đã bắt tai rồi rất nhiều, k drama, mảng miếng rải đều nhiều người k phải chỉ 1, 2 người gánh còng lưng, mà tự nhiên vô cùng làm mọi người nhớ rõ mặt đặt tên cho rất nhiều anh trai, (e xinh mình lại k nhớ nhiều người😂, tiếc thật), gần như ai cũng có điểm để ta thích....góp phần đẩy mạnh nhạc việt, ca sĩ việt  ra nước ngoài để mọi người biết đến, đúng là tự hào...❤❤❤",,,,,
UgxriB7DnJaYGl4gYdF4AaABAg,"Nghe anh Quân bảo ""chắc do em  nhảy không tốt"" thấy thương ghê luôn. Ảnh chọn đội anh Erik ngay từ đầu luôn, chứ không phải là không còn lựa chọn nào khác. Ảnh có quyết định rất khác biệt với hình tượng Quân AP mà mọi người từng biết trước đó. Tuy anh đến chương trình với tinh thần học hỏi nhưng vẫn không quên chiến đấu. Và lòng tin với quyết tâm không bao giờ làm chúng ta thất vọng. Anh đã đứng ngang hàng với đội hình trong mơ của anh Erik, làm đc mọi thứ mà đội anh Erik hướng đến, và hẳn là còn hơn mong đợi của cả khán giả nữa. Sau chương trình này, mong anh phát huy và bay thật là cao với mọi tài năng mà anh luôn có và đã có sau ATSH. 
From: một khán giả biết anh từ lâu nhưng trở thành fan sau khi theo dõi hành trình của anh.",anh Quân,PERSONALITY,positive,thương ghê luôn,mild
UgxriB7DnJaYGl4gYdF4AaABAg,"Nghe anh Quân bảo ""chắc do em  nhảy không tốt"" thấy thương ghê luôn. Ảnh chọn đội anh Erik ngay từ đầu luôn, chứ không phải là không còn lựa chọn nào khác. Ảnh có quyết định rất khác biệt với hình tượng Quân AP mà mọi người từng biết trước đó. Tuy anh đến chương trình với tinh thần học hỏi nhưng vẫn không quên chiến đấu. Và lòng tin với quyết tâm không bao giờ làm chúng ta thất vọng. Anh đã đứng ngang hàng với đội hình trong mơ của anh Erik, làm đc mọi thứ mà đội anh Erik hướng đến, và hẳn là còn hơn mong đợi của cả khán giả nữa. Sau chương trình này, mong anh phát huy và bay thật là cao với mọi tài năng mà anh luôn có và đã có sau ATSH. 
From: một khán giả biết anh từ lâu nhưng trở thành fan sau khi theo dõi hành trình của anh.",anh Erik,TEAMWORK,positive,"đứng ngang hàng với đội hình trong mơ của anh Erik, làm đc mọi thứ mà đội anh Erik hướng đến, và hẳn là còn hơn mong đợi của cả khán giả nữa",strong
